TIPO	CODIGO	UD	DESCRIPCION CORTA	PADRE	CRITERIO	DESGLOSE	DESCRIPCION LARGA	PRECIO/UNIDAD
PARTIDA	12.01.18	ud	Compuerta CortaFuegos: 300x250	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	387,61
PARTIDA	12.01.19	ud	Compuerta CortaFuegos: 300x300	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	388
PARTIDA	12.01.20	ud	Compuerta CortaFuegos: 350x150	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	388,51
PARTIDA	12.01.21	ud	Compuerta CortaFuegos: 350x200	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	389,4
PARTIDA	12.01.22	ud	Compuerta CortaFuegos: 350x250	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	390,01
PARTIDA	12.01.23	ud	Compuerta CortaFuegos: 350x300	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	391,4
PARTIDA	12.01.24	ud	Compuerta CortaFuegos: 350x350	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	395,62
PARTIDA	12.01.25	ud	Compuerta CortaFuegos: 400x300	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	401,2
PARTIDA	12.01.26	ud	Compuerta CortaFuegos: 450x300	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	402,55
PARTIDA	12.01.27	ud	Compuerta CortaFuegos: 500x300	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	420,22
PARTIDA	12.01.28	ud	Compuerta CortaFuegos: 500x350	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	450,99
PARTIDA	12.01.29	ud	Compuerta CortaFuegos: 550x500	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	478,3
PARTIDA	12.01.30	ud	Compuerta CortaFuegos: 600x550	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	489,62
PARTIDA	12.01.31	ud	Compuerta CortaFuegos: 700x400	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	492,01
PARTIDA	12.01.32	ud	Compuerta CortaFuegos: 750x400	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	520,32
PARTIDA	12.01.33	ud	Compuerta CortaFuegos: 900x500	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	545,18
PARTIDA	12.01.34	ud	Compuerta CortaFuegos: 1400x400	12.01			Compuerta cortafuegos rectangular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de chapa de acero galvanizado, conexión a conducto rectangular, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	573,87
PARTIDA	12.01.35	ud	Compuerta CortaFuegos Redonda: D150	12.01			Compuerta cortafuegos circular, basculante, con disparo automático para el cierre de secciones de incendio por fusible térmico tarado a 72°C, resistencia al fuego EI 120 según UNE-EN 1366-2, de 200 mm de diámetro, de chapa de acero galvanizado, para el cierre automático de secciones de incendio en instalaciones de ventilación. Incluso accesorios de montaje y elementos de fijación.	436,22
PARTIDA	12.01.36	ud	Compuerta Regulacion: 200x100	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	129,7
PARTIDA	12.01.37	ud	Compuerta Regulacion: 250x200	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	130,21
PARTIDA	12.01.38	ud	Compuerta Regulacion: 250x300	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	130,99
PARTIDA	12.01.39	ud	Compuerta Regulacion: M100-150x100	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	131,55
PARTIDA	12.01.40	ud	Compuerta Regulacion: M135-150x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	131,87
PARTIDA	12.01.41	ud	Compuerta Regulacion: M150-150x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	132,2
PARTIDA	12.01.42	ud	Compuerta Regulacion: M180-150x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	132,4
PARTIDA	12.01.43	ud	Compuerta Regulacion: M200-150x100	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	132,55
PARTIDA	12.01.44	ud	Compuerta Regulacion: M250-150x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	133,16
PARTIDA	12.01.45	ud	Compuerta Regulacion: M270-200x200	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	133,72
PARTIDA	12.01.46	ud	Compuerta Regulacion: M315-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	134,04
PARTIDA	12.01.47	ud	Compuerta Regulacion: M335-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	134,09
PARTIDA	12.01.48	ud	Compuerta Regulacion: M395-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	134,16
PARTIDA	12.01.49	ud	Compuerta Regulacion: M400-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	134,85
PARTIDA	12.01.50	ud	Compuerta Regulacion: M414-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	135,01
PARTIDA	12.01.51	ud	Compuerta Regulacion: M417-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	135,23
PARTIDA	12.01.52	ud	Compuerta Regulacion: M420-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	135,66
PARTIDA	12.01.53	ud	Compuerta Regulacion: M450-200x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	136,5
PARTIDA	12.01.54	ud	Compuerta Regulacion: M480-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	136,88
PARTIDA	12.01.55	ud	Compuerta Regulacion: M500-250x200	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	137,22
